name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,price_range
Gordon Arms,47 Park Road,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,543935.0001,170929.0001,0.0702231,51.41858437,03/20/2022,£££
Imperial Arms,Old Hill,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,543424.0001,169764.0001,0.062407151,51.40824427,03/20/2022,£
Rambler's Rest,Mill Place,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,543505.0001,169759.0001,0.063569079,51.40817884,03/20/2022,£
Bickley,Chislehurst Road,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,543081.0001,169633.0001,0.057425448,51.40715365,03/20/2022,££
Tigers Head,Watts Lane,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,543992.0001,169860.0001,0.070608136,51.40896304,03/20/2022,£
Crown Inn,School Road,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,544263.0001,169997.0001,0.074558119,51.41012534,03/20/2022,£
Bull's Head Hotel,Royal Parade,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,544428.0001,170106.0001,0.076973611,51.41106288,03/20/2022,££
Sydney Arms,Old Perry Street,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,545204.0001,170516.0001,0.088293011,51.4145492,03/20/2022,££
Man on the Moon,"112 Headley Drive, New Addington",Croydon,,Croydon,,,E09000008,New Addington North,E05011470,538110.0001,163316.0001,-0.016464178,51.35161354,03/20/2022,£
Keg & Grill,1 South End,Croydon,,Croydon,,,E09000008,South Croydon,E05011484,532449.0001,164807.0001,-0.097162941,51.36636227,03/20/2022,££
Joker,73 South End,Croydon,,Croydon,,,E09000008,South Croydon,E05011484,532454.0001,164669.0001,-0.097142573,51.3651208,03/20/2022,£££
Obia Bar & Grill,49c South End,Croydon,,Croydon,,,E09000008,South Croydon,E05011484,532454.0001,164669.0001,-0.097142573,51.3651208,03/20/2022,££
Surrey Cricketers,23 West Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532317.0001,164947.0001,-0.099006088,51.36765133,03/20/2022,£
Apatura Lounge Restaurant,14 South End,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532419.0001,164822.0001,-0.097588094,51.36650409,03/20/2022,£££
Scream Lounge,20 South End,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532412.0001,164762.0001,-0.097710952,51.36596645,03/20/2022,£
Treehouse,78 South End,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532417.0001,164678.0001,-0.097670454,51.36521032,03/20/2022,££
Skylark,34-36 South End,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532417.0001,164678.0001,-0.097670454,51.36521032,03/20/2022,££
Matthews Yard,1 Matthews Yard,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532270.0001,165389.0001,-0.099516428,51.37163487,03/20/2022,£
Milan Bar,16 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532289.0001,165482.0001,-0.09920897,51.37246631,03/20/2022,£
Slug & Lettuce,10 Park Lane,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532529.0001,165577.0001,-0.095727146,51.37326417,03/20/2022,££
George,17-21 George Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532440.0001,165613.0001,-0.096991786,51.37360849,03/20/2022,£££
Cronx,"Units 3 & 4, Boxpark Croydon, 99 George Street",Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532709.0001,165693.0001,-0.093098985,51.37426469,03/20/2022,£££
Beatbox,"Units 22-26, Ground Floor, Boxpark Croydon",Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532709.0001,165693.0001,-0.093098985,51.37426469,03/20/2022,£
Green Dragon,58 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532312.0001,165268.0001,-0.098958373,51.37053757,03/20/2022,£
Memory Box,80-88 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532312.0001,165268.0001,-0.098958373,51.37053757,03/20/2022,£
Crown & Pepper,242 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532365.0001,165028.0001,-0.098286715,51.36836815,03/20/2022,££
South Beats,282 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532396.0001,164935.0001,-0.097876239,51.36752507,03/20/2022,££
Spreadeagle,39-41 Katharine Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532398.0001,165433.0001,-0.097661991,51.3720005,03/20/2022,£
Ship,47 High Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532342.0001,165377.0001,-0.098486998,51.37151024,03/20/2022,£
Dog & Bull,24 Surrey Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532235.0001,165465.0001,-0.099990735,51.3723261,03/20/2022,££
Market Tavern,1-4 Surrey Street,Croydon,,Croydon,,,E09000008,Fairfield,E05011468,532235.0001,165465.0001,-0.099990735,51.3723261,03/20/2022,£
